id,source,label,score,warning,field,value,field_label,field_score,probabilities,confidence,model,assessed_at,request_hash,cached
2,airports.csv:row:2,ANOMALY,1.0,True,/elevation_ft,"""83""",NORMAL,0.05,"{""ANOMALY"":0.05,""NORMAL"":0.95}",0.9,jev-1.13.0,2026-09-24T01:00:39.878161+00:00,2fed8798d48853a110f046465b17e795553c491542165b4a24517278d7a855c3,True
2,airports.csv:row:2,ANOMALY,1.0,True,/ident,"""EGLL""",NORMAL,0.06,"{""ANOMALY"":0.06,""NORMAL"":0.94}",0.87,jev-1.13.0,2026-09-24T01:00:39.878161+00:00,2fed8798d48853a110f046465b17e795553c491542165b4a24517278d7a855c3,True
2,airports.csv:row:2,ANOMALY,1.0,True,/iso_country,"""JP""",ANOMALY,1.0,"{""ANOMALY"":1.0,""NORMAL"":0.0}",1.0,jev-1.13.0,2026-09-24T01:00:39.878161+00:00,2fed8798d48853a110f046465b17e795553c491542165b4a24517278d7a855c3,True
2,airports.csv:row:2,ANOMALY,1.0,True,/latitude_deg,"""51.470748""",NORMAL,0.09,"{""ANOMALY"":0.09,""NORMAL"":0.91}",0.82,jev-1.13.0,2026-09-24T01:00:39.878161+00:00,2fed8798d48853a110f046465b17e795553c491542165b4a24517278d7a855c3,True
2,airports.csv:row:2,ANOMALY,1.0,True,/longitude_deg,"""-0.459909""",NORMAL,0.07,"{""ANOMALY"":0.07,""NORMAL"":0.93}",0.87,jev-1.13.0,2026-09-24T01:00:39.878161+00:00,2fed8798d48853a110f046465b17e795553c491542165b4a24517278d7a855c3,True
2,airports.csv:row:2,ANOMALY,1.0,True,/municipality,"""London""",NORMAL,0.07,"{""ANOMALY"":0.07,""NORMAL"":0.93}",0.87,jev-1.13.0,2026-09-24T01:00:39.878161+00:00,2fed8798d48853a110f046465b17e795553c491542165b4a24517278d7a855c3,True
2,airports.csv:row:2,ANOMALY,1.0,True,/name,"""London Heathrow Airport""",NORMAL,0.12,"{""ANOMALY"":0.12,""NORMAL"":0.88}",0.77,jev-1.13.0,2026-09-24T01:00:39.878161+00:00,2fed8798d48853a110f046465b17e795553c491542165b4a24517278d7a855c3,True
4,airports.csv:row:4,ANOMALY,1.0,True,/elevation_ft,"""13""",NORMAL,0.06,"{""ANOMALY"":0.06,""NORMAL"":0.94}",0.87,jev-1.13.0,2026-09-24T01:00:40.133750+00:00,b1e399a888237fd919a1b1c642aed591f125d7709dea661bb786503ec9d047c1,True
4,airports.csv:row:4,ANOMALY,1.0,True,/ident,"""KJFK""",NORMAL,0.11,"{""ANOMALY"":0.11,""NORMAL"":0.89}",0.77,jev-1.13.0,2026-09-24T01:00:40.133750+00:00,b1e399a888237fd919a1b1c642aed591f125d7709dea661bb786503ec9d047c1,True
4,airports.csv:row:4,ANOMALY,1.0,True,/iso_country,"""FR""",ANOMALY,1.0,"{""ANOMALY"":1.0,""NORMAL"":0.0}",0.99,jev-1.13.0,2026-09-24T01:00:40.133750+00:00,b1e399a888237fd919a1b1c642aed591f125d7709dea661bb786503ec9d047c1,True
4,airports.csv:row:4,ANOMALY,1.0,True,/latitude_deg,"""40.639447""",NORMAL,0.06,"{""ANOMALY"":0.06,""NORMAL"":0.94}",0.88,jev-1.13.0,2026-09-24T01:00:40.133750+00:00,b1e399a888237fd919a1b1c642aed591f125d7709dea661bb786503ec9d047c1,True
4,airports.csv:row:4,ANOMALY,1.0,True,/longitude_deg,"""-73.779317""",NORMAL,0.05,"{""ANOMALY"":0.05,""NORMAL"":0.95}",0.89,jev-1.13.0,2026-09-24T01:00:40.133750+00:00,b1e399a888237fd919a1b1c642aed591f125d7709dea661bb786503ec9d047c1,True
4,airports.csv:row:4,ANOMALY,1.0,True,/municipality,"""New York""",NORMAL,0.18,"{""ANOMALY"":0.18,""NORMAL"":0.82}",0.65,jev-1.13.0,2026-09-24T01:00:40.133750+00:00,b1e399a888237fd919a1b1c642aed591f125d7709dea661bb786503ec9d047c1,True
4,airports.csv:row:4,ANOMALY,1.0,True,/name,"""John F. Kennedy International Airport""",NORMAL,0.08,"{""ANOMALY"":0.08,""NORMAL"":0.92}",0.83,jev-1.13.0,2026-09-24T01:00:40.133750+00:00,b1e399a888237fd919a1b1c642aed591f125d7709dea661bb786503ec9d047c1,True
